pattern,trial_number,execution_order,elapsed_ns,rows,cols,total_elements,total_bytes,checksum,preflight_ref,timer,compiler_id,build_flags
row,1,1,5663888,4096,4096,16777216,67108864,2097144125,out/preflight.json,clock_gettime(CLOCK_MONOTONIC),cc (Debian 14.2.0-19) 14.2.0,-std=c11 -O2 -Wall -Wextra -Wpedantic -fno-tree-vectorize -fno-unroll-loops
column,1,2,113309321,4096,4096,16777216,67108864,2097144125,out/preflight.json,clock_gettime(CLOCK_MONOTONIC),cc (Debian 14.2.0-19) 14.2.0,-std=c11 -O2 -Wall -Wextra -Wpedantic -fno-tree-vectorize -fno-unroll-loops
column,2,3,112498483,4096,4096,16777216,67108864,2097144125,out/preflight.json,clock_gettime(CLOCK_MONOTONIC),cc (Debian 14.2.0-19) 14.2.0,-std=c11 -O2 -Wall -Wextra -Wpedantic -fno-tree-vectorize -fno-unroll-loops
row,2,4,5767105,4096,4096,16777216,67108864,2097144125,out/preflight.json,clock_gettime(CLOCK_MONOTONIC),cc (Debian 14.2.0-19) 14.2.0,-std=c11 -O2 -Wall -Wextra -Wpedantic -fno-tree-vectorize -fno-unroll-loops
row,3,5,5701795,4096,4096,16777216,67108864,2097144125,out/preflight.json,clock_gettime(CLOCK_MONOTONIC),cc (Debian 14.2.0-19) 14.2.0,-std=c11 -O2 -Wall -Wextra -Wpedantic -fno-tree-vectorize -fno-unroll-loops
column,3,6,112954504,4096,4096,16777216,67108864,2097144125,out/preflight.json,clock_gettime(CLOCK_MONOTONIC),cc (Debian 14.2.0-19) 14.2.0,-std=c11 -O2 -Wall -Wextra -Wpedantic -fno-tree-vectorize -fno-unroll-loops
column,4,7,112364802,4096,4096,16777216,67108864,2097144125,out/preflight.json,clock_gettime(CLOCK_MONOTONIC),cc (Debian 14.2.0-19) 14.2.0,-std=c11 -O2 -Wall -Wextra -Wpedantic -fno-tree-vectorize -fno-unroll-loops
row,4,8,5997653,4096,4096,16777216,67108864,2097144125,out/preflight.json,clock_gettime(CLOCK_MONOTONIC),cc (Debian 14.2.0-19) 14.2.0,-std=c11 -O2 -Wall -Wextra -Wpedantic -fno-tree-vectorize -fno-unroll-loops
row,5,9,5696448,4096,4096,16777216,67108864,2097144125,out/preflight.json,clock_gettime(CLOCK_MONOTONIC),cc (Debian 14.2.0-19) 14.2.0,-std=c11 -O2 -Wall -Wextra -Wpedantic -fno-tree-vectorize -fno-unroll-loops
column,5,10,112861543,4096,4096,16777216,67108864,2097144125,out/preflight.json,clock_gettime(CLOCK_MONOTONIC),cc (Debian 14.2.0-19) 14.2.0,-std=c11 -O2 -Wall -Wextra -Wpedantic -fno-tree-vectorize -fno-unroll-loops
column,6,11,114371718,4096,4096,16777216,67108864,2097144125,out/preflight.json,clock_gettime(CLOCK_MONOTONIC),cc (Debian 14.2.0-19) 14.2.0,-std=c11 -O2 -Wall -Wextra -Wpedantic -fno-tree-vectorize -fno-unroll-loops
row,6,12,5711991,4096,4096,16777216,67108864,2097144125,out/preflight.json,clock_gettime(CLOCK_MONOTONIC),cc (Debian 14.2.0-19) 14.2.0,-std=c11 -O2 -Wall -Wextra -Wpedantic -fno-tree-vectorize -fno-unroll-loops
row,7,13,6276926,4096,4096,16777216,67108864,2097144125,out/preflight.json,clock_gettime(CLOCK_MONOTONIC),cc (Debian 14.2.0-19) 14.2.0,-std=c11 -O2 -Wall -Wextra -Wpedantic -fno-tree-vectorize -fno-unroll-loops
column,7,14,117984453,4096,4096,16777216,67108864,2097144125,out/preflight.json,clock_gettime(CLOCK_MONOTONIC),cc (Debian 14.2.0-19) 14.2.0,-std=c11 -O2 -Wall -Wextra -Wpedantic -fno-tree-vectorize -fno-unroll-loops
